Date,Bitcoin,NF50,hdfc,gold,mutualfund
1/7/2022,-34.52%,-5.14%,-2.89%,1.95%,-3.92%
1/8/2022,13.71%,9.89%,6.50%,-0.24%,9.31%
1/9/2022,-13.27%,1.96%,2.83%,-1.89%,1.89%
1/10/2022,-1.07%,-3.28%,-4.81%,-0.24%,-3.68%
1/11/2022,7.40%,6.20%,7.84%,-1.08%,7.87%
1/12/2022,-18.26%,3.92%,7.06%,4.40%,3.52%
1/1/2023,-1.39%,-3.56%,0.17%,5.13%,-2.41%
1/2/2023,41.11%,-1.33%,1.54%,4.74%,-2.33%
1/3/2023,1.47%,-2.81%,-3.12%,-2.55%,-0.28%
1/4/2023,19.37%,-0.23%,0.17%,5.51%,0.10%
1/5/2023,4.10%,4.32%,5.16%,0.40%,4.17%
1/6/2023,-6.04%,2.20%,-4.66%,0.37%,1.92%
1/7/2023,11.47%,4.12%,8.49%,-1.79%,5.24%
1/8/2023,-5.41%,2.33%,-5.12%,0.51%,3.69%
1/9/2023,-6.33%,-1.70%,-5.30%,-0.68%,-0.86%
1/10/2023,-0.82%,0.85%,-3.29%,-2.27%,1.95%
1/11/2023,28.36%,-2.69%,-3.24%,5.37%,-2.70%
1/12/2023,9.85%,6.26%,5.98%,2.55%,8.47%
1/1/2024,12.26%,7.60%,9.16%,1.68%,7.26%
,,,,,
,,,,,
avg return,3.26%,1.52%,1.18%,1.15%,2.06%
month variance,2.84%,0.18%,0.27%,0.08%,0.18%
month std,16.86%,4.25%,5.24%,2.75%,4.23%
annualreturn,39.15%,18.25%,14.18%,13.80%,24.76%
annual variance,34.12%,2.16%,3.30%,0.91%,2.15%
annual std,58.41%,14.71%,18.16%,9.52%,14.66%
cov,1.49,0.81,1.28,0.69,0.59
